author_name,affliations,article_title,doi,volume
Martin Josef Geiger,"University of the Federal Armed Forces Hamburg, Germany",Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Lucas Kletzander,,Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Nysret Musliu,"Priv. Dozent and Senior Scientist, Vienna University of Technology",Solving the Torpedo Scheduling Problem,10.1613/jair.1.11303,Vol. 66 (2019)
Mohammad Mahdi Amirian,"Department of Electrical and Computer Engineering Isfahan University of Technology Isfahan, Iran",Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models,10.1613/jair.1.11322,Vol. 66 (2019)
Saeed Shiry Ghidary,"Amirkabir University of Technology, Tehran, Iran",Xeggora: Exploiting Immune-to-Evidence Symmetries with Full Aggregation in Statistical Relational Models,10.1613/jair.1.11322,Vol. 66 (2019)
Krzysztof Magiera,,Recognizing Top-Monotonic Preference Profiles in Polynomial Time,10.1613/jair.1.11331,Vol. 66 (2019)
Piotr Faliszewski,"AGH University of Science and Technology, Krakow, Poland",Recognizing Top-Monotonic Preference Profiles in Polynomial Time,10.1613/jair.1.11331,Vol. 66 (2019)
StÇphane Airiau,Strategic Sourcing at Airbnb,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Elise Bonzon,Paris Descartes University,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Ulle Endriss,"Institute for Logic, Language and Computation University of Amsterdam",Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Nicolas Maudet,"LIP6, Sorbonne UniversitÇ",Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Julien Rossit,Unknown affiliation,Rationalisation of Profiles of Abstract Argumentation Frameworks: Characterisation and Complexity,10.1613/jair.5436,Vol. 60 (2017)
Victor Gutierrez-Basulto,"University of Bremen, Faculty of Mathematics, Computer Science",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Jean Christoph Jung,"University of Bremen, Institute of Computer Science, Germany",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Carsten Lutz,"University of Bremen, Germany",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Lutz Schrîder,"Professor of Computer Science, Friedrich-Alexander-UniversitÑt Erlangen-NÅrnberg",Probabilistic Description Logics for Subjective Uncertainty,10.1613/jair.5222,Vol. 58 (2017)
Mehrdad Oveisi,The University of British Columbia,Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
James P. Delgrande,"Simon Fraser University, Burnaby, Canada",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Francis Jeffry Pelletier,"University of Alberta, Philosophy, Faculty Member",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Fred Popowich,"Professor of Computing Science, Simon Fraser University",Kernel Contraction and Base Dependence,10.1613/jair.5496,Vol. 60 (2017)
Gadi Aleksandrowicz,,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Hana Chockler,,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Joseph Y. Halpern,,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Alexander Ivrii,,The Computational Complexity of Structure-Based Causality,10.1613/jair.5229,Vol. 58 (2017)
Supriyo Ghosh,,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Pradeep Varakantham,,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Yossiri Adulyasak,,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Patrick Jaillet,,Dynamic Repositioning to Reduce Lost Demand in Bike Sharing Systems,10.1613/jair.5308,Vol. 58 (2017)
Allan R. Leite,,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Fabricio Enembreck,,Using Collective Behavior of Coupled Oscillators for Solving DCOP,10.1613/jair.1.11468,Vol. 64 (2019)
Carlo Combi,,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Roberto Posenato,,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Luca Vigan,,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Matteo Zavatteri,,Conditional Simple Temporal Networks with Uncertainty and Resources,10.1613/jair.1.11453,Vol. 64 (2019)
Heshan Du,,Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Natasha Alechina,,Qualitative Spatial Logics for Buffered Geometries,10.1613/jair.5140,Vol. 56 (2016)
Isabel Cenamor,,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Tom†s de la Rosa,,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Fernando Fern†ndez,,The IBaCoP Planning System: Instance-Based Configured Portfolios,10.1613/jair.5080,Vol. 56 (2016)
Cristhian Ariel D. Deagustini,,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Maria Vanina Martinez,,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Marcelo A. Falappa,,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Guillermo R. Simari,,Datalog+- Ontology Consolidation,10.1613/jair.5131,Vol. 56 (2016)
Broes De Cat,,Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Marc Denecker,,Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Maurice Bruynooghe,,Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Peter Stuckey,,Lazy Model Expansion: Interleaving Grounding with Search,10.1613/jair.4591,Vol. 52 (2015)
Haris Aziz,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Casey Cahan,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Charles Gretton,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Philip Kilby,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Nicholas Mattei,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
Toby Walsh,,A Study of Proxies for Shapley Allocations of Transport Costs,10.1613/jair.5021,Vol. 56 (2016)
B. Bosansky,,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
C. Kiekintveld,,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
V. Lisy,,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
M. Pechoucek,,An Exact Double-Oracle Algorithm for Zero-Sum Extensive-Form Games with Imperfect Information,10.1613/jair.4477,Vol. 51 (2014)
Haonan Yu,,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
N. Siddharth,,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
Andrei Barbu,,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
Jeffrey Mark Siskind,,"A Compositional Framework for Grounding Language Inference, Generation, and Acquisition in Video",10.1613/jair.4556,Vol. 52 (2015)
D. Zilli,,A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
O. Parson,,A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
G. V. Merrett,,A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
A. Rogers,,A Hidden Markov Model-Based Acoustic Cicada Detector for Crowdsourced Smartphone Biodiversity Monitoring,10.1613/jair.4434,Vol. 51 (2014)
P. Kissmann,,BDD Ordering Heuristics for Classical Planning,10.1613/jair.4586,Vol. 51 (2014)
J. Hoffmann,,BDD Ordering Heuristics for Classical Planning,10.1613/jair.4586,Vol. 51 (2014)
C. R. Shelton,,Tutorial on Structured Continuous-Time Markov Processes,10.1613/jair.4415,Vol. 51 (2014)
G. Ciardo,,Tutorial on Structured Continuous-Time Markov Processes,10.1613/jair.4415,Vol. 51 (2014)
G. Stefanoni,,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
B. Motik,,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
M. Kroetzsch,,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
S. Rudolph,,The Complexity of Answering Conjunctive and Navigational Queries over OWL 2 EL Knowledge Bases,10.1613/jair.4457,Vol. 51 (2014)
